Year,Industry,Sector,Value,Country,Metric
2025,Food,Ice Cream,-,Country_Bolivia,Volume M Liters
2025,Food,Meat,-,Country_Bolivia,Volume M Liters
2025,Food,Meat Substitutes,-,Country_Bolivia,Volume M Liters
2025,Food,Oils and Fats,-,Country_Bolivia,Volume M Liters
2025,Food,Other Canned food,-,Country_Bolivia,Volume M Liters
2025,Food,Other Dried food,-,Country_Bolivia,Volume M Liters
2025,Food,Other Frozen Foods,-,Country_Bolivia,Volume M Liters
2025,Food,Pasta & Noodles,-,Country_Bolivia,Volume M Liters
2025,Food,Prepared Meals,-,Country_Bolivia,Volume M Liters
2025,Food,Savory & Deli Foods,-,Country_Bolivia,Volume M Liters
2025,Food,Savory Snacks,-,Country_Bolivia,Volume M Liters
2025,Food,"Seasonings, Dressings & Sauces",-,Country_Bolivia,Volume M Liters
2025,Food,Soups,-,Country_Bolivia,Volume M Liters
2025,Food,Syrups & Spreads,-,Country_Bolivia,Volume M Liters
2025,Fresh Food,Fruits & Vegetables,-,Country_Bolivia,Volume M Liters
2025,Household Products,Household Products,45.42638735235433,Country_Bolivia,Volume M Liters
2025,Non-Alcoholic Beverages,Hot Drinks,229.10633250288086,Country_Bolivia,Volume M Liters
2025,Non-Alcoholic Beverages,Soft Drinks,1994.0420639969989,Country_Bolivia,Volume M Liters
2026,Alcoholic Beverages,Beer & Cider,413.4824999599998,Country_Bolivia,Volume M Liters
2026,Alcoholic Beverages,Spirits,27.69512352474226,Country_Bolivia,Volume M Liters
2026,Alcoholic Beverages,Wines,16.56949861429567,Country_Bolivia,Volume M Liters
2026,Food,Bakery & Cereals,-,Country_Bolivia,Volume M Liters
2026,Food,Beans & Pulses,-,Country_Bolivia,Volume M Liters
2026,Food,Confectionery,-,Country_Bolivia,Volume M Liters
2026,Food,Dairy & Soy Food,361.03799969723934,Country_Bolivia,Volume M Liters
2026,Food,Fish & Seafood,-,Country_Bolivia,Volume M Liters
2026,Food,Ice Cream,-,Country_Bolivia,Volume M Liters
2026,Food,Meat,-,Country_Bolivia,Volume M Liters
2026,Food,Meat Substitutes,-,Country_Bolivia,Volume M Liters
2026,Food,Oils and Fats,-,Country_Bolivia,Volume M Liters
2026,Food,Other Canned food,-,Country_Bolivia,Volume M Liters
2026,Food,Other Dried food,-,Country_Bolivia,Volume M Liters
2026,Food,Other Frozen Foods,-,Country_Bolivia,Volume M Liters
2026,Food,Pasta & Noodles,-,Country_Bolivia,Volume M Liters
2026,Food,Prepared Meals,-,Country_Bolivia,Volume M Liters
2026,Food,Savory & Deli Foods,-,Country_Bolivia,Volume M Liters
2026,Food,Savory Snacks,-,Country_Bolivia,Volume M Liters
2026,Food,"Seasonings, Dressings & Sauces",-,Country_Bolivia,Volume M Liters
2026,Food,Soups,-,Country_Bolivia,Volume M Liters
2026,Food,Syrups & Spreads,-,Country_Bolivia,Volume M Liters
2026,Fresh Food,Fruits & Vegetables,-,Country_Bolivia,Volume M Liters
2026,Household Products,Household Products,45.66474051852061,Country_Bolivia,Volume M Liters
2026,Non-Alcoholic Beverages,Hot Drinks,234.6993254540554,Country_Bolivia,Volume M Liters
2026,Non-Alcoholic Beverages,Soft Drinks,2053.454274027002,Country_Bolivia,Volume M Liters
2027,Alcoholic Beverages,Beer & Cider,421.23300007999995,Country_Bolivia,Volume M Liters
2027,Alcoholic Beverages,Spirits,28.05741028678513,Country_Bolivia,Volume M Liters
2027,Alcoholic Beverages,Wines,17.06892272671447,Country_Bolivia,Volume M Liters
2027,Food,Bakery & Cereals,-,Country_Bolivia,Volume M Liters
2027,Food,Beans & Pulses,-,Country_Bolivia,Volume M Liters
2027,Food,Confectionery,-,Country_Bolivia,Volume M Liters
